# Guia de carreras universitarias (SIU), https://guiadecarreras.siu.edu.ar/ciie_ofertas/2.0/guia_grado.php , filtro provincia = Tucuman, nivel posgrado. Consultado el 2026-09-08 con un navegador automatizado. La primera fila de datos repite el encabezado tal como lo muestra la tabla.
universidad,facultad,titulo,tipo_de_titulo,duracion,condiciones_de_ingreso,domicilio,telefono,web,mail
"Universidad","Facultad","Título","Tipo de Título","Duración","Condiciones de Ingreso","Domicilio","Teléfono","Web","Mail"
"Universidad del Norte Santo Tomás de Aquino","Facultad de Ciencias de la Salud","Especialista en Nutrición con Orientación en Obesidad - MD","Especialización","2 Años","Consulte con la Institución","Av. Perón 2085 - Yerba Buena - Tucumán","(0381) 4101198","http://www.unsta.edu.ar/","info@unsta.edu.ar"
"Universidad del Norte Santo Tomás de Aquino","Facultad de Ciencias Juridicas, Politicas y Sociales","Especialista en Medios Alternativos de Resolución de Conflictos","Especialización","2 Años","Entrevista de Admisión","9 de Julio 165 - San Miguel De Tucuman - Tucumán","(0381) 4101141","http://www.unsta.edu.ar/","info@unsta.edu.ar"
"Universidad del Norte Santo Tomás de Aquino","Facultad de Ciencias Juridicas, Politicas y Sociales","Magister en Derecho Empresario","Maestría","2 Años","Ingreso Directo","9 de Julio 165 - San Miguel De Tucuman - Tucumán","(0381) 4101141","http://www.unsta.edu.ar/","info@unsta.edu.ar"
"Universidad del Norte Santo Tomás de Aquino","Facultad de Economía y Administración","Especialista en Dirección Estratégica de Recursos Humanos","Especialización","2 Años","Entrevista de Admisión","9 de Julio 165 - San Miguel De Tucuman - Tucumán","(0381) 4101141","http://www.unsta.edu.ar/","info@unsta.edu.ar"
"Universidad del Norte Santo Tomás de Aquino","Facultad de Economía y Administración","Magister en Dirección y Administración de Empresas","Maestría","6 Trimestres","Ingreso Directo","9 de Julio 165 - San Miguel De Tucuman - Tucumán","(0381) 4101141","http://www.unsta.edu.ar/","info@unsta.edu.ar"
"Universidad del Norte Santo Tomás de Aquino","Facultad de Humanidades","Especialista en Docencia Universitaria","Especialización","1.5 Años","Ingreso Directo","9 de Julio 165 - San Miguel De Tucuman - Tucumán","(0381) 4101141","http://www.unsta.edu.ar/","info@unsta.edu.ar"
"Universidad del Norte Santo Tomás de Aquino","Facultad de Ingeniería","Especialista en Logística","Especialización","1 Años","Ingreso Directo","Av. Perón 2085 - Yerba Buena - Tucumán","(0381) 4101198","http://www.unsta.edu.ar/","info@unsta.edu.ar"
"Universidad del Norte Santo Tomás de Aquino","Facultad de Ingeniería","Magíster en Gestión de Tecnologías de la Información","Maestría","3 Semestres","Entrevista de Admisión","Av. Perón 2085 - Yerba Buena - Tucumán","(0381) 4101198","http://www.unsta.edu.ar/","info@unsta.edu.ar"
"Universidad del Norte Santo Tomás de Aquino","Facultad de Ingeniería","Magister en Informática","Maestría","3 Semestres","Ingreso Directo","Av. Perón 2085 - Yerba Buena - Tucumán","(0381) 4101198","http://www.unsta.edu.ar/","info@unsta.edu.ar"
"Universidad de San Pablo - T","Instituto de Desarrollo Tecnológico para la Competitividad Territorial","Especialista en Caña de Azúcar","Especialización","28 Meses","Consulte con la Institución","24 de Septiembre 476 - San Miguel De Tucuman - Tucumán","(0381) 4530 630","www.uspt.edu.ar","gbravo@uspt.edu.ar"
"Universidad de San Pablo - T","Instituto de Desarrollo Tecnológico para la Competitividad Territorial","Magíster en Dirección y Gestión de Empresas","Maestría","2 Años","Consulte con la Institución","24 de Septiembre 476 - San Miguel De Tucuman - Tucumán","(0381) 4530 630","www.uspt.edu.ar","gbravo@uspt.edu.ar"
"Universidad de San Pablo - T","Instituto de Estudios Sociales, Politica y Cultura","Magíster en Derecho Parlamentario","Maestría","2 Años","Consulte con la Institución","24 de Septiembre 476 - San Miguel De Tucuman - Tucumán","(0381) 4530630","www.uspt.edu.ar","eflores@uspt.edu.ar"
"Universidad de San Pablo - T","Instituto de Estudios Sociales, Politica y Cultura","Magíster en Política y Gobierno","Maestría","2 Años","Consulte con la Institución","24 de Septiembre 476 - San Miguel De Tucuman - Tucumán","(0381) 4530630","www.uspt.edu.ar","eflores@uspt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Agronomía, Zootecnia y Veterinaria","Doctor en Ciencias Agronómicas","Doctorado","4 Años","Consulte con la Institución","Avda Pte. Nestor Kirchner 1900 - San Miguel De Tucuman - Tucumán","(0381) 4533111","faz.unt.edu.ar","decanatofaz@gmail.com"
"Universidad Nacional de Tucumán","Facultad de Agronomía, Zootecnia y Veterinaria","Doctor en Ciencias Biológicas","Doctorado","4 Años","Consulte con la Institución","Avda Pte. Nestor Kirchner 1900 - San Miguel De Tucuman - Tucumán","(0381) 4533111","faz.unt.edu.ar","decanatofaz@gmail.com"
"Universidad Nacional de Tucumán","Facultad de Agronomía, Zootecnia y Veterinaria","Especialista en Citricultura","Especialización","2 Años","Consulte con la Institución","Avda Pte. Nestor Kirchner 1900 - San Miguel De Tucuman - Tucumán","(0381) 4533111","faz.unt.edu.ar","decanatofaz@gmail.com"
"Universidad Nacional de Tucumán","Facultad de Agronomía, Zootecnia y Veterinaria","Magister en Ciencias Agrarias con Orientación en Producción Sostenible","Maestría","2 Años","Consulte con la Institución","Avda Pte. Nestor Kirchner 1900 - San Miguel De Tucuman - Tucumán","(0381) 4533111","faz.unt.edu.ar","decanatofaz@gmail.com"
"Universidad Nacional de Tucumán","Facultad de Agronomía, Zootecnia y Veterinaria","Magister en Desarrollo de Zonas Aridas y Semiáridas","Maestría","2 Años","Consulte con la Institución","Avda Pte. Nestor Kirchner 1900 - San Miguel De Tucuman - Tucumán","(0381) 4533111","faz.unt.edu.ar","decanatofaz@gmail.com"
"Universidad Nacional de Tucumán","Facultad de Agronomía, Zootecnia y Veterinaria","Magister en Producción Animal","Maestría","2 Años","Consulte con la Institución","Avda Pte. Nestor Kirchner 1900 - San Miguel De Tucuman - Tucumán","(0381) 4533111","faz.unt.edu.ar","decanatofaz@gmail.com"
"Universidad Nacional de Tucumán","Facultad de Agronomía, Zootecnia y Veterinaria","Magíster en Riego y Uso Agropecuario del Agua","Maestría","2.5 Años","Consulte con la Institución","Avda Pte. Nestor Kirchner 1900 - San Miguel De Tucuman - Tucumán","(0381) 4533111","faz.unt.edu.ar","decanatofaz@gmail.com"
