# Guia de carreras universitarias (SIU), https://guiadecarreras.siu.edu.ar/ciie_ofertas/2.0/guia_grado.php , filtro provincia = Tucuman, nivel pregrado y grado. Consultado el 2026-09-08 con un navegador automatizado. La primera fila de datos repite el encabezado tal como lo muestra la tabla.
universidad,facultad,titulo,tipo_de_titulo,duracion,condiciones_de_ingreso,domicilio,telefono,web,mail
"Universidad","Facultad","Título","Tipo de Título","Duración","Condiciones de Ingreso","Domicilio","Teléfono","Web","Mail"
"Universidad del Norte Santo Tomás de Aquino","Centro Universitario Concepción","Abogado","Grado","5 Años","Ingreso Directo","Roca 37 - Concepcion - Tucumán","(03865) 42316","http://www.unsta.edu.ar/","info@unsta.edu.ar"
"Universidad del Norte Santo Tomás de Aquino","Centro Universitario Concepción","Contador Público","Grado","4 Años","Ingreso Directo","Roca 37 - Concepcion - Tucumán","(03865) 42316","http://www.unsta.edu.ar/","info@unsta.edu.ar"
"Universidad del Norte Santo Tomás de Aquino","Centro Universitario Concepción","Ingeniero en Informática","Grado","5 Años","Consulte con la Institución","Roca 37 - Concepcion - Tucumán","(03865) 42316","http://www.unsta.edu.ar/","info@unsta.edu.ar"
"Universidad del Norte Santo Tomás de Aquino","Centro Universitario Concepción","Ingeniero Industrial","Grado","5 Años","Consulte con la Institución","Roca 37 - Concepcion - Tucumán","(03865) 42316","http://www.unsta.edu.ar/","info@unsta.edu.ar"
"Universidad del Norte Santo Tomás de Aquino","Centro Universitario Concepción","Licenciado en Administración de Empresas","Grado","4 Años","Ingreso Directo","Roca 37 - Concepcion - Tucumán","(03865) 42316","http://www.unsta.edu.ar/","info@unsta.edu.ar"
"Universidad del Norte Santo Tomás de Aquino","Centro Universitario Concepción","Licenciado en Gestión Ambiental y Ecología","Grado","4 Años","Consulte con la Institución","Roca 37 - Concepcion - Tucumán","(03865) 42316","http://www.unsta.edu.ar/","info@unsta.edu.ar"
"Universidad del Norte Santo Tomás de Aquino","Centro Universitario Concepción","Licenciado en Higiene y Seguridad Laboral","Grado","5 Años","Ingreso Directo","Roca 37 - Concepcion - Tucumán","(03865) 42316","http://www.unsta.edu.ar/","info@unsta.edu.ar"
"Universidad del Norte Santo Tomás de Aquino","Centro Universitario Concepción","Licenciado en Logística y Gestión de Transportes","Grado","4 Años","Consulte con la Institución","Roca 37 - Concepcion - Tucumán","(03865) 42316","http://www.unsta.edu.ar/","info@unsta.edu.ar"
"Universidad del Norte Santo Tomás de Aquino","Centro Universitario Concepción","Licenciado en Nutrición","Grado","4 Años","Ingreso Directo","Roca 37 - Concepcion - Tucumán","(03865) 42316","http://www.unsta.edu.ar/","info@unsta.edu.ar"
"Universidad del Norte Santo Tomás de Aquino","Centro Universitario Concepción","Licenciado en Psicología","Grado","5 Años","Ingreso Directo","Roca 37 - Concepcion - Tucumán","(03865) 42316","http://www.unsta.edu.ar/","info@unsta.edu.ar"
"Universidad del Norte Santo Tomás de Aquino","Centro Universitario Concepción","Licenciado en Recursos Humanos","Grado","4 Años","Ingreso Directo","Roca 37 - Concepcion - Tucumán","(03865) 42316","http://www.unsta.edu.ar/","info@unsta.edu.ar"
"Universidad del Norte Santo Tomás de Aquino","Centro Universitario Concepción","Licenciado en Terapia Ocupacional","Grado","4 Años","Consulte con la Institución","Roca 37 - Concepcion - Tucumán","(03865) 42316","http://www.unsta.edu.ar/","info@unsta.edu.ar"
"Universidad del Norte Santo Tomás de Aquino","Centro Universitario Concepción","Licenciado en Turismo","Grado","4 Años","Consulte con la Institución","Roca 37 - Concepcion - Tucumán","(03865) 42316","http://www.unsta.edu.ar/","info@unsta.edu.ar"
"Universidad del Norte Santo Tomás de Aquino","Centro Universitario Concepción","Notario","Grado","4 Años","Ingreso Directo","Roca 37 - Concepcion - Tucumán","(03865) 42316","http://www.unsta.edu.ar/","info@unsta.edu.ar"
"Universidad del Norte Santo Tomás de Aquino","Centro Universitario Concepción","Procurador","Técnico Instrumental","3 Años","Ingreso Directo","Roca 37 - Concepcion - Tucumán","(03865) 42316","http://www.unsta.edu.ar/","info@unsta.edu.ar"
"Universidad del Norte Santo Tomás de Aquino","Centro Universitario Concepción","Técnico en Higiene y Seguridad Laboral","Técnico Instrumental","3 Años","Ingreso Directo","Roca 37 - Concepcion - Tucumán","(03865) 42316","http://www.unsta.edu.ar/","info@unsta.edu.ar"
"Universidad del Norte Santo Tomás de Aquino","Facultad de Ciencias de la Salud","Licenciado en Diagnóstico por Imágenes","Grado","5 Años","Ingreso Directo","Av. Perón 2085 - Yerba Buena - Tucumán","(0381) 4101198","http://www.unsta.edu.ar/","info@unsta.edu.ar"
"Universidad del Norte Santo Tomás de Aquino","Facultad de Ciencias de la Salud","Licenciado en Gastronomía","Grado","4 Años","Ingreso Directo","Av. Perón 2085 - Yerba Buena - Tucumán","(0381) 4101198","http://www.unsta.edu.ar/","info@unsta.edu.ar"
"Universidad del Norte Santo Tomás de Aquino","Facultad de Ciencias de la Salud","Licenciado en Nutrición","Grado","4 Años","Ingreso Directo","Av. Perón 2085 - Yerba Buena - Tucumán","(0381) 4101198","http://www.unsta.edu.ar/","info@unsta.edu.ar"
"Universidad del Norte Santo Tomás de Aquino","Facultad de Ciencias de la Salud","Licenciado en Psicología","Grado","5 Años","Ingreso Directo","Av. Perón 2085 - Yerba Buena - Tucumán","(0381) 4101198","http://www.unsta.edu.ar/","info@unsta.edu.ar"
"Universidad del Norte Santo Tomás de Aquino","Facultad de Ciencias de la Salud","Licenciado en Terapia Ocupacional","Grado","4 Años","Ingreso Directo","Av. Perón 2085 - Yerba Buena - Tucumán","(0381) 4101198","http://www.unsta.edu.ar/","info@unsta.edu.ar"
"Universidad del Norte Santo Tomás de Aquino","Facultad de Ciencias de la Salud","Licenciado en Trabajo Social - Ciclo de Complementación Curricular","Ciclo de Complementación Curricular","2 Años","Consulte con la Institución","Av. Perón 2085 - Yerba Buena - Tucumán","(0381) 4101198","http://www.unsta.edu.ar/","info@unsta.edu.ar"
"Universidad del Norte Santo Tomás de Aquino","Facultad de Ciencias de la Salud","Médico","Grado","6 Años","Exámen de Ingreso","Av. Perón 2085 - Yerba Buena - Tucumán","(0381) 4101198","http://www.unsta.edu.ar/","info@unsta.edu.ar"
"Universidad del Norte Santo Tomás de Aquino","Facultad de Ciencias de la Salud","Técnico Universitario en Diagnóstico por Imágenes","Técnico Instrumental","3 Años","Ingreso Directo","Av. Perón 2085 - Yerba Buena - Tucumán","(0381) 4101198","http://www.unsta.edu.ar/","info@unsta.edu.ar"
"Universidad del Norte Santo Tomás de Aquino","Facultad de Ciencias Juridicas, Politicas y Sociales","Abogado","Grado","5 Años","Ingreso Directo","9 de Julio 165 - San Miguel De Tucuman - Tucumán","(0381) 4101141","http://www.unsta.edu.ar/","info@unsta.edu.ar"
"Universidad del Norte Santo Tomás de Aquino","Facultad de Ciencias Juridicas, Politicas y Sociales","Licenciado en Ciencias Políticas","Grado","4 Años","Consulte con la Institución","9 de Julio 165 - San Miguel De Tucuman - Tucumán","(0381) 4101141","http://www.unsta.edu.ar/","info@unsta.edu.ar"
"Universidad del Norte Santo Tomás de Aquino","Facultad de Ciencias Juridicas, Politicas y Sociales","Licenciado en Comunicación Social","Grado","5 Años","Ingreso Directo","9 de Julio 165 - San Miguel De Tucuman - Tucumán","(0381) 4101141","http://www.unsta.edu.ar/","info@unsta.edu.ar"
"Universidad del Norte Santo Tomás de Aquino","Facultad de Ciencias Juridicas, Politicas y Sociales","Licenciado en Seguridad y Protección Ciudadana - Ciclo de Complementación Curricular","Ciclo de Complementación Curricular","2 Años","Ingreso Directo","9 de Julio 165 - San Miguel De Tucuman - Tucumán","(0381) 4101141","http://www.unsta.edu.ar/","info@unsta.edu.ar"
"Universidad del Norte Santo Tomás de Aquino","Facultad de Ciencias Juridicas, Politicas y Sociales","Locutor Nacional","Técnico Instrumental","3 Años","Exámen de Ingreso","9 de Julio 165 - San Miguel De Tucuman - Tucumán","(0381) 4101141","http://www.unsta.edu.ar/","info@unsta.edu.ar"
