# SIPES, Base de Titulos Universitarios (Direccion Nacional de Gestion Universitaria), https://sipes.siu.edu.ar/buscar_titulos_form.php . Consultado el 2026-09-07 con el formulario (institucion + parte del nombre del titulo). Columnas: Institucion | Titulo | Carrera | Resolucion que otorga reconocimiento oficial | Modalidad de dictado | Nivel academico.

## UNSTA, titulo con SOFTWARE
Universidad del Norte Santo Tomás de Aquino | TÉCNICO/A UNIVERSITARIO/A EN DESARROLLO Y CALIDAD DE SOFTWARE | TECNICATURA EN DESARROLLO Y CALIDAD DE SOFTWARE | R.M./2495/2018 - R.M./1186/2021 | PRESENCIAL | Pregrado

## UNT, titulo con PROGRAMADOR
Universidad Nacional de Tucumán | PROGRAMADOR/A UNIVERSITARIO/A | PROGRAMADOR UNIVERSITARIO | R.M./2013/2020 | PRESENCIAL | Pregrado
Universidad Nacional de Tucumán | PROGRAMADOR UNIVERSITARIO |   | R.M.1148/98 | PRESENCIAL | Pregrado

## UNT, titulo con INFORM
Universidad Nacional de Tucumán | ESPECIALISTA EN INTEGRACIÓN DE TECNOLOGÍAS INFORMÁTICAS | ESPECIALIZACIÓN EN INTEGRACIÓN DE TECNOLOGÍAS INFORMÁTICAS | R.M./2159/2018 - R.M./783/2022 - R.M./265/2023 | PRESENCIAL | Posgrado
Universidad Nacional de Tucumán | INGENIERO EN INFORMÁTICA | INGENIERÍA EN INFORMÁTICA | R.M./606/2021 | PRESENCIAL | Grado
Universidad Nacional de Tucumán | LICENCIADO/A EN INFORMÁTICA | LICENCIATURA EN INFORMÁTICA | R.M./1740/2015 - R.M./292/2021 | PRESENCIAL | Grado
Universidad Nacional de Tucumán | LICENCIADO EN INFORMÁTICA |   | R.M.0777/05 | PRESENCIAL | Grado

## UTN, titulo con PROGRAMACI (primera pagina de 2, 20 filas: una por Facultad Regional)
Universidad Tecnológica Nacional | TÉCNICO/A UNIVERSITARIO/A EN PROGRAMACIÓN | TECNICATURA UNIVERSITARIA EN PROGRAMACIÓN | R.M./954/2020 | PRESENCIAL | Pregrado
Universidad Tecnológica Nacional | TÉCNICO/A UNIVERSITARIO/A EN PROGRAMACIÓN | TECNICATURA UNIVERSITARIA EN PROGRAMACIÓN | R.M./557/2020 | PRESENCIAL | Pregrado
Universidad Tecnológica Nacional | TÉCNICO/A UNIVERSITARIO/A EN PROGRAMACIÓN | TECNICATURA UNIVERSITARIA EN PROGRAMACIÓN | D./371/2025 | PRESENCIAL | Pregrado
Universidad Tecnológica Nacional | TÉCNICO/A UNIVERSITARIO/A EN PROGRAMACIÓN | TECNICATURA UNIVERSITARIA EN PROGRAMACIÓN | R.M./634/2020 | PRESENCIAL | Pregrado
Universidad Tecnológica Nacional | TÉCNICO/A UNIVERSITARIO/A EN PROGRAMACIÓN | TECNICATURA UNIVERSITARIA EN PROGRAMACIÓN | R.M./1170/2024 | PRESENCIAL | Pregrado
