# SIPES, Base de Titulos Universitarios (DNGU), https://sipes.siu.edu.ar/buscar_titulos_form.php . Todas las paginas del buscador para las cinco instituciones, consultado el 2026-09-08 (hora de Argentina, noche del 7) con el formulario y su paginado. UTN es la universidad entera (no se puede filtrar por Facultad Regional); Siglo 21 dicta a distancia.
cod_institucion,institucion,titulo,carrera,resolucion_reconocimiento_oficial,modalidad,nivel
36,Universidad Nacional de Tucumán,ABOGADO,ABOGACÍA,R.M./3207/2021,PRESENCIAL,Grado
36,Universidad Nacional de Tucumán,ABOGADO/A, ,R.M.1153/01,PRESENCIAL,Grado
36,Universidad Nacional de Tucumán,ACTOR/ACTRIZ,TECNICATURA UNIVERSITARIA EN ACTUACIÓN TEATRAL,R.M./913/2024,PRESENCIAL,Pregrado
36,Universidad Nacional de Tucumán,AGRIMENSOR/A,INGENIERÍA EN AGRIMENSURA,R.M./1954/2017,PRESENCIAL,Grado
36,Universidad Nacional de Tucumán,ANALISTA EN COMPUTACIÓN,INGENIERÍA EN COMPUTACIÓN,R.M.1486/05,PRESENCIAL,Grado
36,Universidad Nacional de Tucumán,ARQUEOLOGO, ,R.M.2150/88 - R.M.1227/99,PRESENCIAL,Grado
36,Universidad Nacional de Tucumán,ARQUITECTO/A,ARQUITECTURA,D./82/2025,PRESENCIAL,Grado
36,Universidad Nacional de Tucumán,ARQUITECTO/A,ARQUITECTURA,C.S. - R.M./1461/2012,PRESENCIAL,Grado
36,Universidad Nacional de Tucumán,ASISTENTE DE INGENIERO/A EN COMPUTACIÓN,INGENIERÍA EN COMPUTACIÓN,R.M.1486/05,PRESENCIAL,Pregrado
36,Universidad Nacional de Tucumán,AYUDANTE DE LABORATORIO DE BIOLOGIA Y QUIMICA DE LAS ESCUELAS DE ENSEÑANZA MEDIA, ,R.M.0009/95,PRESENCIAL,Pregrado
36,Universidad Nacional de Tucumán,BACHILLER EN ARTES PLÁSTICAS Y VISUALES,BACHILLER EN ARTES PLÁSTICAS Y VISUALES,R.M./2596/2021,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,"BACHILLER EN ARTES VISUALES, ESPECIALIZACIÓN EN PINTURA; BACHILLER EN ARTES VISUALES, ESPECIALIZACIÓN EN ESCULTURA; BACHILLER EN ARTES VISUALES, ESPECIALIZACIÓN EN CERÁMICA Y BACHILLER EN ARTES VISUALES, ESPECIALIZACIÓN EN ARTE IMPRESO","BACHILLER EN ARTES VISUALES, ESPECIALIZACIÓN EN PINTURA; BACHILLER EN ARTES VISUALES, ESPECIALIZACIÓN EN ESCULTURA; BACHILLER EN ARTES VISUALES, ESPECIALIZACIÓN EN CERÁMICA Y BACHILLER EN ARTES VISUALES, ESPECIALIZACIÓN EN ARTE IMPRESO",R.M./55/2018,PRESENCIAL,Preuniversitario
36,Universidad Nacional de Tucumán,BACHILLER EN CIENCIAS NATURALES,BACHILLERATO EN CIENCIAS NATURALES,R.M./2881/2019,PRESENCIAL,Preuniversitario
36,Universidad Nacional de Tucumán,BACHILLER EN CIENCIAS SOCIALES Y HUMANIDADES,BACHILLER EN CIENCIAS SOCIALES Y HUMANIDADES,R.M./2732/2019,PRESENCIAL,Preuniversitario
36,Universidad Nacional de Tucumán,BAILARÍN/BAILARINA EN DANZA CONTEMPORÁNEA,PROFESORADO EN DANZA CONTEMPORÁNEA,R.M./2466/2019,PRESENCIAL,Grado
36,Universidad Nacional de Tucumán,BAILARIN DE DANZA CONTEMPORANEA, ,R.M.1228/88,PRESENCIAL,Pregrado
36,Universidad Nacional de Tucumán,BIOQUÍMICO/A,BIOQUÍMICA,R.M.0972/98 - R.M.0072/08 - R.M./2350/2015 - R.M./2762/2017,PRESENCIAL,Grado
36,Universidad Nacional de Tucumán,DECORADOR DE INTERIORES, ,R.M.1342/94,PRESENCIAL,Pregrado
36,Universidad Nacional de Tucumán,DISEÑADOR/A DE ILUMINACIÓN,DISEÑO DE ILUMINACIÓN,R.M./2378/2019,PRESENCIAL,Grado
36,Universidad Nacional de Tucumán,DISEÑADOR DE INTERIORES Y EQUIPAMIENTO, ,R.M.2449/98,PRESENCIAL,Grado
36,Universidad Nacional de Tucumán,"DOCTOR/A EN ALIMENTOS, ORIENTACIÓN EN CIENCIA O INGENIERÍA",DOCTORADO EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS,R.M./120/2018,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,DOCTOR/A EN ARQUEOLOGÍA,DOCTORADO EN ARQUEOLOGÍA -ACREDIT CONEAU 250-17,R.M./1828/2019,PRESENCIAL,Posgrado
