# Anuario de Estadisticas Universitarias 2022 (SPU), version CSV, cuadros del capitulo 2 (pregrado y grado), filas de las cuatro universidades sembradas. Bajado el 2026-09-07 de https://www.argentina.gob.ar/educacion/universidades/informacion/publicaciones/anuarios (anuario_csv_2022.zip). Columnas: est = estudiantes, ni = nuevos inscriptos, r = reinscriptos, e = egresados; el sufijo es la rama o la disciplina.
cuadro,descripcion,institucion,columna,valor
Cuadro_2_1_1,estudiantes 2012-2022,Tecnológica Nacional,_2012,83090
Cuadro_2_1_1,estudiantes 2012-2022,Tecnológica Nacional,_2013,80052
Cuadro_2_1_1,estudiantes 2012-2022,Tecnológica Nacional,_2014,81584
Cuadro_2_1_1,estudiantes 2012-2022,Tecnológica Nacional,_2015,82652
Cuadro_2_1_1,estudiantes 2012-2022,Tecnológica Nacional,_2016,84387
Cuadro_2_1_1,estudiantes 2012-2022,Tecnológica Nacional,_2017,86841
Cuadro_2_1_1,estudiantes 2012-2022,Tecnológica Nacional,_2018,88723
Cuadro_2_1_1,estudiantes 2012-2022,Tecnológica Nacional,_2019,91510
Cuadro_2_1_1,estudiantes 2012-2022,Tecnológica Nacional,_2020,94525
Cuadro_2_1_1,estudiantes 2012-2022,Tecnológica Nacional,_2021,101869
Cuadro_2_1_1,estudiantes 2012-2022,Tecnológica Nacional,_2022,98177
Cuadro_2_1_1,estudiantes 2012-2022,Tecnológica Nacional,tasa,1.7
Cuadro_2_1_1,estudiantes 2012-2022,Tucumán,_2012,61632
Cuadro_2_1_1,estudiantes 2012-2022,Tucumán,_2013,63524
Cuadro_2_1_1,estudiantes 2012-2022,Tucumán,_2014,63281
Cuadro_2_1_1,estudiantes 2012-2022,Tucumán,_2015,61803
Cuadro_2_1_1,estudiantes 2012-2022,Tucumán,_2016,66199
Cuadro_2_1_1,estudiantes 2012-2022,Tucumán,_2017,67027
Cuadro_2_1_1,estudiantes 2012-2022,Tucumán,_2018,66246
Cuadro_2_1_1,estudiantes 2012-2022,Tucumán,_2019,69273
Cuadro_2_1_1,estudiantes 2012-2022,Tucumán,_2020,68110
Cuadro_2_1_1,estudiantes 2012-2022,Tucumán,_2021,73983
Cuadro_2_1_1,estudiantes 2012-2022,Tucumán,_2022,82401
Cuadro_2_1_1,estudiantes 2012-2022,Tucumán,tasa,2.9
Cuadro_2_1_2,nuevos inscriptos 2012-2022,Tecnológica Nacional,_2012,18329
Cuadro_2_1_2,nuevos inscriptos 2012-2022,Tecnológica Nacional,_2013,16616
Cuadro_2_1_2,nuevos inscriptos 2012-2022,Tecnológica Nacional,_2014,17111
Cuadro_2_1_2,nuevos inscriptos 2012-2022,Tecnológica Nacional,_2015,17085
Cuadro_2_1_2,nuevos inscriptos 2012-2022,Tecnológica Nacional,_2016,18558
Cuadro_2_1_2,nuevos inscriptos 2012-2022,Tecnológica Nacional,_2017,19070
Cuadro_2_1_2,nuevos inscriptos 2012-2022,Tecnológica Nacional,_2018,19455
Cuadro_2_1_2,nuevos inscriptos 2012-2022,Tecnológica Nacional,_2019,21469
Cuadro_2_1_2,nuevos inscriptos 2012-2022,Tecnológica Nacional,_2020,23219
Cuadro_2_1_2,nuevos inscriptos 2012-2022,Tecnológica Nacional,_2021,25087
Cuadro_2_1_2,nuevos inscriptos 2012-2022,Tecnológica Nacional,_2022,25543
Cuadro_2_1_2,nuevos inscriptos 2012-2022,Tecnológica Nacional,tasa,3.4
Cuadro_2_1_2,nuevos inscriptos 2012-2022,Tucumán,_2012,11238
Cuadro_2_1_2,nuevos inscriptos 2012-2022,Tucumán,_2013,11399
Cuadro_2_1_2,nuevos inscriptos 2012-2022,Tucumán,_2014,12157
Cuadro_2_1_2,nuevos inscriptos 2012-2022,Tucumán,_2015,12697
Cuadro_2_1_2,nuevos inscriptos 2012-2022,Tucumán,_2016,13371
Cuadro_2_1_2,nuevos inscriptos 2012-2022,Tucumán,_2017,13337
Cuadro_2_1_2,nuevos inscriptos 2012-2022,Tucumán,_2018,12982
Cuadro_2_1_2,nuevos inscriptos 2012-2022,Tucumán,_2019,15432
Cuadro_2_1_2,nuevos inscriptos 2012-2022,Tucumán,_2020,14388
Cuadro_2_1_2,nuevos inscriptos 2012-2022,Tucumán,_2021,17015
Cuadro_2_1_2,nuevos inscriptos 2012-2022,Tucumán,_2022,23035
Cuadro_2_1_2,nuevos inscriptos 2012-2022,Tucumán,tasa,7.4
Cuadro_2_1_3,egresados 2012-2022,Tecnológica Nacional,_2012,4981
Cuadro_2_1_3,egresados 2012-2022,Tecnológica Nacional,_2013,4757
Cuadro_2_1_3,egresados 2012-2022,Tecnológica Nacional,_2014,5210
Cuadro_2_1_3,egresados 2012-2022,Tecnológica Nacional,_2015,5144
Cuadro_2_1_3,egresados 2012-2022,Tecnológica Nacional,_2016,4406
Cuadro_2_1_3,egresados 2012-2022,Tecnológica Nacional,_2017,4382
Cuadro_2_1_3,egresados 2012-2022,Tecnológica Nacional,_2018,4983
Cuadro_2_1_3,egresados 2012-2022,Tecnológica Nacional,_2019,4280
Cuadro_2_1_3,egresados 2012-2022,Tecnológica Nacional,_2020,3018
Cuadro_2_1_3,egresados 2012-2022,Tecnológica Nacional,_2021,3854
Cuadro_2_1_3,egresados 2012-2022,Tecnológica Nacional,_2022,3738
Cuadro_2_1_3,egresados 2012-2022,Tecnológica Nacional,tasa,-2.8
Cuadro_2_1_3,egresados 2012-2022,Tucumán,_2012,2252
Cuadro_2_1_3,egresados 2012-2022,Tucumán,_2013,2452
Cuadro_2_1_3,egresados 2012-2022,Tucumán,_2014,2428
Cuadro_2_1_3,egresados 2012-2022,Tucumán,_2015,2475
